P1	P2	P3	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
javanicus	HNI	MIKK	19	0.6731949890280768	18.172371637622145	0.24433352355617505	0.17989521021903992	0.30877183689331017
javanicus	HNI	MIKK	20	0.6312584185894788	11.924648974836057	0.17199232452759838	0.10923334106092861	0.23475130799426816
javanicus	HNI	MIKK	21	0.5775812381737526	14.251188674196118	0.1255294083326979	0.09267590366048686	0.15838291300490895
javanicus	HNI	MIKK	22	0.757903775461091	34.81721819358645	0.3195956923434505	0.2873647420904262	0.3518266425964748
javanicus	HNI	MIKK	23	0.4851953075527244	11.19573140525368	0.08734299186908123	0.06659157924096637	0.1080944044971961
javanicus	HNI	MIKK	24	0.658449879087257	21.25282708167979	0.19118261959136568	0.12565446195735752	0.25671077722537383
javanicus	HSOK	MIKK	all	0.7444293232508685	200.41739195277	0.2829346460818878	0.27640325842078406	0.2894660337429915
javanicus	HSOK	MIKK	1	0.7393705899580713	60.32656490268933	0.2600104680603251	0.2436513943619047	0.27636954175874545
javanicus	HSOK	MIKK	2	0.7421138698607512	32.82758587078397	0.277363636793055	0.24338062926193788	0.3113466443241721
javanicus	HSOK	MIKK	3	0.7808670467302085	68.97728594704482	0.33572199969148464	0.3157331177021228	0.35571088168084647
javanicus	HSOK	MIKK	4	0.7417533142668591	67.72153464665348	0.25148425564951793	0.2252089904774942	0.27775952082154165
javanicus	HSOK	MIKK	5	0.7618808858509288	47.6283568671885	0.3243937707671469	0.3008803671985205	0.34790717433577334
javanicus	HSOK	MIKK	6	0.7679038829324195	45.52809410289164	0.31453605264723483	0.29379905291061315	0.3352730523838565
javanicus	HSOK	MIKK	7	0.7583437048987433	56.957430105509694	0.3162414744514566	0.2986503121660151	0.3338326367368981
javanicus	HSOK	MIKK	8	0.7027964044913462	37.364441801452635	0.2809351553384207	0.24638189545463146	0.3154884152222099
javanicus	HSOK	MIKK	9	0.7590260327261185	58.89887304671575	0.316352717443911	0.2965296843623846	0.33617575052543747
javanicus	HSOK	MIKK	10	0.7489396081255315	49.99527513067998	0.2616176176431997	0.24541715269196823	0.27781808259443114
javanicus	HSOK	MIKK	11	0.784673164390064	54.29928071811138	0.36325233675112445	0.33887085415027646	0.38763381935197244
javanicus	HSOK	MIKK	12	0.7898088100533116	49.3410432072145	0.33758006105293226	0.30376421241550294	0.37139590969036157
javanicus	HSOK	MIKK	13	0.7641173607352637	60.12853285635575	0.31925368777600677	0.2941981172919888	0.34430925826002473
