P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
melastigma	HNI	12	0.710271696304144	15.4630248413807	0.276693006160017	0.132976226697496	0.254225169845468
melastigma	HNI	13	0.766708939649578	32.6183027386223	0.326521972224699	0.156631097712761	0.230570298830203
melastigma	HNI	14	0.680352814009534	13.8824047917426	0.24166889009235	0.124140597532743	0.263060799010221
melastigma	HNI	15	0.67014232585003	9.50025586756736	0.202866677149655	0.102168244595814	0.28503315194715
melastigma	HNI	16	0.630929332809918	15.9697112333989	0.190219251461748	0.13488558966495	0.252315806878013
melastigma	HNI	17	0.463877148265291	2.72919310294705	0.111462365095961	0.0707126014781833	0.31648879506478
melastigma	HNI	18	0.610087321260767	6.13780166635269	0.209056577578605	0.0687754275503067	0.318425968992657
melastigma	HNI	19	0.615482270453954	7.83784757039153	0.19006602095091	0.106673985900923	0.280527410642041
melastigma	HNI	20	0.612619793325635	15.4647212737291	0.17266502014363	0.150576516573974	0.236624879968989
melastigma	HNI	21	0.61894357657434	12.598975823769	0.136505983051218	0.146939544063867	0.240261852479096
melastigma	HNI	22	0.684072050242728	10.4819926902752	0.2566568040927	0.0926665071330113	0.294534889409952
melastigma	HNI	23	0.496518500457921	11.080576849514	0.0866676720899132	0.171690710939464	0.215510685603499
melastigma	HNI	24	0.645886234858406	13.4483344566659	0.201434452860429	0.126518664893802	0.260682731649162
melastigma	HSOK	all	0.708394119238619	75.7283887759688	0.257245082313422	0.245600239273176	0.268889925353668
melastigma	HSOK	1	0.740902329469077	22.1487355633913	0.257744330140746	0.2233461254782	0.291144039148644
melastigma	HSOK	2	0.663866905029577	10.7645971962705	0.250459282968803	0.188082830214844	0.326407334412001
melastigma	HSOK	3	0.795960712275828	38.4745865727303	0.341783240730883	0.227266762374936	0.287223402251909
melastigma	HSOK	4	0.669762118508596	17.6548684049811	0.211352803668176	0.218507285571917	0.295982879054927
melastigma	HSOK	5	0.802625414865856	54.4072620041663	0.33943145331584	0.234666059763449	0.279824104863395
melastigma	HSOK	6	0.761053601906189	18.2600504670625	0.306158062790155	0.209318533190162	0.305171631436682
melastigma	HSOK	7	0.74116400183842	28.4652919412324	0.316624071586831	0.22437341799843	0.290116746628414
melastigma	HSOK	8	0.670088314490322	12.3424582423933	0.262558645297594	0.179095234383551	0.335394930243293
melastigma	HSOK	9	0.724596767977811	25.0203991829724	0.286011899558894	0.22659256413215	0.287897600494694
melastigma	HSOK	10	0.67368889521692	13.3478452397584	0.206577337095818	0.208814691135544	0.3056754734913
melastigma	HSOK	11	0.764277100502451	19.2788190847264	0.333464420589623	0.192741058552773	0.321749106074071
melastigma	HSOK	12	0.690691589725958	13.84599457619	0.260416925153893	0.198374580469958	0.316115584156887
melastigma	HSOK	13	0.750531503482001	26.1690955454506	0.307924288590626	0.215075113938563	0.299415050688282
melastigma	HSOK	14	0.704162893777794	16.2737815657062	0.261030028676116	0.201475637890727	0.313014526736117
melastigma	HSOK	15	0.707175550550939	14.973676386609	0.250485040422943	0.197171905719378	0.317318258907467
melastigma	HSOK	16	0.686127733197297	21.2306076623498	0.247852979862334	0.223185771529235	0.291304393097609
melastigma	HSOK	17	0.622670309945838	5.5811242801906	0.208850948061911	0.135227567498344	0.3792625971285
melastigma	HSOK	18	0.637967933927925	10.9109003313487	0.254716498137215	0.174391323401236	0.340098841225608
