dataset,chr,bin_bdr,mean,bin_bdr_kb
mikk,6,6500,0.171291163048248,6.5
mikk,6,6600,0.170406359598197,6.6
mikk,6,6700,0.16728054441352,6.7
mikk,6,6800,0.165786051808921,6.8
mikk,6,6900,0.163408273137941,6.9
mikk,6,7000,0.162969663562501,7
mikk,6,7100,0.160693221917549,7.1
mikk,6,7200,0.163665106657613,7.2
mikk,6,7300,0.159345523287067,7.3
mikk,6,7400,0.159143947588134,7.4
mikk,6,7500,0.160665161749395,7.5
mikk,6,7600,0.155319547519089,7.6
mikk,6,7700,0.155708767165314,7.7
mikk,6,7800,0.155221138028782,7.8
mikk,6,7900,0.154398703520928,7.9
mikk,6,8000,0.153405881137315,8
mikk,6,8100,0.15184085238991,8.1
mikk,6,8200,0.151943393089192,8.2
mikk,6,8300,0.150791255594456,8.3
mikk,6,8400,0.149844688440924,8.4
mikk,6,8500,0.150713387815235,8.5
mikk,6,8600,0.149201036638262,8.6
mikk,6,8700,0.146749335153306,8.7
mikk,6,8800,0.14335295656398,8.8
mikk,6,8900,0.14403436618868,8.9
mikk,6,9000,0.141997903257387,9
mikk,6,9100,0.139519180719375,9.1
mikk,6,9200,0.139201782545278,9.2
mikk,6,9300,0.137125245601293,9.3
mikk,6,9400,0.138987938274668,9.4
mikk,6,9500,0.137796060898367,9.5
mikk,6,9600,0.137690839836707,9.6
mikk,6,9700,0.135512554540216,9.7
mikk,6,9800,0.134041471765138,9.8
mikk,6,9900,0.131263431282251,9.9
mikk,7,0,0.500240882610284,0
mikk,7,100,0.38029881344646,0.1
mikk,7,200,0.365154265408252,0.2
mikk,7,300,0.354965288322233,0.3
mikk,7,400,0.3526615357193,0.4
mikk,7,500,0.347015008686602,0.5
mikk,7,600,0.338992795101566,0.6
mikk,7,700,0.334581137933067,0.7
mikk,7,800,0.329116602036347,0.8
mikk,7,900,0.321674453722055,0.9
mikk,7,1000,0.318506900088304,1
mikk,7,1100,0.312172008518845,1.1
mikk,7,1200,0.305020589385584,1.2
mikk,7,1300,0.299565389024296,1.3
mikk,7,1400,0.29610080705302,1.4
mikk,7,1500,0.291652756627628,1.5
mikk,7,1600,0.287825477875927,1.6
mikk,7,1700,0.283854687020649,1.7
mikk,7,1800,0.28113407179758,1.8
mikk,7,1900,0.273836201280622,1.9
mikk,7,2000,0.27010659778543,2
mikk,7,2100,0.267195280462156,2.1
mikk,7,2200,0.26458263578238,2.2
mikk,7,2300,0.258095489594929,2.3
mikk,7,2400,0.255833409701644,2.4
mikk,7,2500,0.253324501916138,2.5
mikk,7,2600,0.251463384612323,2.6
mikk,7,2700,0.251041942118903,2.7
mikk,7,2800,0.247381319320095,2.8
mikk,7,2900,0.244806173750459,2.9
mikk,7,3000,0.24127807465373,3
mikk,7,3100,0.23722993190491,3.1
mikk,7,3200,0.23839084556898,3.2
mikk,7,3300,0.232754840851982,3.3
mikk,7,3400,0.222608145171608,3.4
mikk,7,3500,0.220350840105331,3.5
mikk,7,3600,0.219414699546115,3.6
mikk,7,3700,0.21867537265144,3.7
mikk,7,3800,0.217939768256653,3.8
mikk,7,3900,0.213167646250074,3.9
mikk,7,4000,0.212945044905296,4
mikk,7,4100,0.211955311430314,4.1
mikk,7,4200,0.206861086662025,4.2
mikk,7,4300,0.206760967997018,4.3
mikk,7,4400,0.208737629656451,4.4
mikk,7,4500,0.202627826222269,4.5
mikk,7,4600,0.203066865480459,4.6
mikk,7,4700,0.202220343181167,4.7
mikk,7,4800,0.197871145023047,4.8
mikk,7,4900,0.198417892380381,4.9
mikk,7,5000,0.198649159322331,5
mikk,7,5100,0.196378976243993,5.1
mikk,7,5200,0.195483787770271,5.2
mikk,7,5300,0.194330767032524,5.3
mikk,7,5400,0.193260671030084,5.4
mikk,7,5500,0.190981837128164,5.5
mikk,7,5600,0.191067147017224,5.6
mikk,7,5700,0.19188202909098,5.7
mikk,7,5800,0.191821825300546,5.8
mikk,7,5900,0.189041393075476,5.9
mikk,7,6000,0.187881154531903,6
mikk,7,6100,0.185147459051104,6.1
mikk,7,6200,0.182407699879614,6.2
mikk,7,6300,0.181135687378991,6.3
mikk,7,6400,0.177333086031817,6.4
mikk,7,6500,0.17902381748909,6.5
mikk,7,6600,0.180430509445538,6.6
mikk,7,6700,0.176132207994766,6.7
mikk,7,6800,0.176556416410716,6.8
