P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
HSOK	HdrR	6	0.740870718775601	10.6339082424566	0.520827323423724	0.375316081457669	0.666338565389779
HSOK	HdrR	7	0.456665388008942	3.892279249535	0.29566876789366	0.16100641603494	0.43033111975238
HSOK	HdrR	8	0.726207416206365	10.7236049934552	0.565504228971308	0.423672044831626	0.707336413110991
HSOK	HdrR	9	0.669748979205354	7.62523428195428	0.487187969947031	0.348660792523402	0.625715147370659
HSOK	HdrR	10	0.905962508642196	36.0433064712715	0.818481276759721	0.76531710223201	0.871645451287431
HSOK	HdrR	11	0.551829671120146	6.7287781654662	0.402650203528954	0.276852652210378	0.528447754847531
HSOK	HdrR	12	0.789840974852275	15.6975435851475	0.643531887439374	0.521366243199054	0.765697531679693
HSOK	HdrR	13	0.71184174304135	8.39441345041146	0.465862181980457	0.323412332324252	0.608312031636662
HSOK	HdrR	14	0.901765990624671	28.3339436760417	0.762290908051521	0.671262936642361	0.853318879460681
HSOK	HdrR	15	0.875567471716529	20.1294099607414	0.686530520316924	0.57957661372731	0.793484426906539
HSOK	HdrR	16	0.802558219955364	18.1429620732972	0.584664613313541	0.483011945884958	0.686317280742124
HSOK	HdrR	17	0.848626235135502	12.1647741934858	0.697548446924636	0.505922333925479	0.889174559923794
HSOK	HdrR	18	0.736695057678966	8.77620477866068	0.643663201882641	0.475858946921239	0.811467456844043
HSOK	HdrR	19	0.612863012944349	4.54692128358543	0.493575413173746	0.273987106871155	0.713163719476337
HSOK	HdrR	20	0.719429430328041	8.34341968405348	0.501169004063552	0.334483810562081	0.667854197565022
HSOK	HdrR	21	0.913256316186661	43.401993994704	0.782403484400686	0.709547340913994	0.855259627887378
HSOK	HdrR	22	0.757930606994634	16.3248055495572	0.450171066880562	0.355248235544284	0.54509389821684
HSOK	HdrR	23	0.899634359003682	36.2995763151286	0.78193163755043	0.702309407555851	0.861553867545008
HSOK	HdrR	24	0.901631371658743	35.8933325589073	0.733046721228195	0.62694830613942	0.83914513631697
HSOK	HNI	all	0.180991564620099	12.0289226498454	0.0176178905073759	0.0142869860864697	0.0209487949282821
HSOK	HNI	1	0.13444937124597	2.85294962775677	0.00823452705825434	0.00352118186899863	0.01294787224751
HSOK	HNI	2	0.126445031152409	2.91675830154825	0.0136687417689408	0.0048440723311513	0.0224934112067303
